name;description;category;tags;creationyear;address;postcode;city;geo_point_2d;url;twitter;googleplus;facebook
SnapCar;Snapcar est une application mobile connectée à un réseau de voitures avec chauffeur.;Entreprise;"mobile;voitureavecchauffeur";2012;La Boursidière;92350;Le Plessis Robinson;48.773502, 2.240701;http://www.snapcar.com;snapcar;;https://www.facebook.com/SnapCar
FamiliaGames;FamiliaGames développe des jeux trans-générationnels sur réseaux sociaux, mobiles et tablettes pour le grand public et la famille.;Entreprise;"jeu;mobile;socialgaming";2011;44 rue Escudier;92100;Boulogne-Billancourt;48.843588, 2.238422;http://www.familiagames.com;;;
Paypal;PayPal permet à une entreprise ou un utilisateur disposant d'une adresse email d'envoyer et de recevoir des paiements en ligne de manière pratique, sécurisée et peu coûteuse.;Entreprise;"paiement;ecommerce";1998;21 rue de la Banque;75002;Paris;48.86834, 2.34116;http://www.paypal.com;PayPal;https://plus.google.com/+paypal;https://www.facebook.com/PayPal
FOODISCOVER;Le meilleur de nos producteurs livré tous les mois dans votre boîte aux lettres. Sélections réalisées par des chefs reconnus.;Entreprise;;2012;9 Avenue Percier;75008 PARIS;;48.8726189283, 2.33562469482;http://www.foodiscover.com;foodiscover;;https://www.facebook.com/pages/Foodiscover/407527989283012
Décideurs TV;Décideurs TV est une Web TV pour les professionnels où les décideurs parlent aux décideurs.;Entreprise;"webtv;video";2007;33 rue des Jeuneurs;75002;Paris;48.869671, 2.34412;http://www.decideurstv.com;DECIDEURSTV;;https://www.facebook.com/Decideurstv
HackEns;hackEns est un club du COF de l'École Normale Supérieure dont le but est de rassembler des gens motivés pour travailler sur des projets de type hackerspace ou fablab.;Tiers-lieu;"hackerspace;fablab";;45 rue d'Ulm;75005;Paris;48.841837, 2.344034;http://hackens.org;;;
Technilog;Editeur de logiciel en informatique industrielle, TECHNILOG propose des solutions d’acquisition, distribution, d’exploitation et d’historisation de données  réparties.;Entreprise;energie;1985;Domaine Saint Paul 102 route de Limours;78470;Saint-Remy-Les-Chevreuse;48.6934848, 2.066829;http://www.technilog.com;;;
Atrium Data;Audit et Conseil pour les Data Centres + R&D dans le domaine des économies d'énergie et la modularité des Data Centres;Entreprise;ocds;2007;54 avenue Hoche;75008;Paris;48.8750402, 2.2976245;http://www.atriumdata.com;;;
Mondeca;Mondeca est un éditeur de logiciel spécialisé dans les solutions d'organisation et d'accès aux informations, connaissances et contenus multimédia.;Entreprise;"semantique;ged";2000;3 cité Nollez;75018;Paris;48.893742, 2.33746;http://www.mondeca.com;mondecanews;;http://www.linkedin.com/company/64279
Art Graphique et Patrimoine;Art Graphique et Patrimoine est une entreprise spécialisée dans le patrimoine culturel, historique et monumental. Ses départements photogrammétrie et multimédia offrent leurs services à tous les acteurs du patrimoine.;Entreprise;"culture;realiteaugmentee;multimedia";1994;15 avenue Jean-Jaurès;94340;Joinville-le-Pont;48.821629, 2.46454;http://www.artgp.fr;;;
Nenuphar Development;Nenuphar Development crée des applications pour smartphone et tablette (iOS et Androïd) et propose notamment bdBuzz, shop et gestion de collection de BD numériques.;Entreprise;"apps;mobile;bandedessinee";2011;23 rue du Départ;75014;Paris;48.842258, 2.32299;http://www.nenuphar-development.com;;;https://www.facebook.com/pages/bdBuzz-page-officielle/169925583078795
Bookeen;Bookeen développe le marché du livre électronique en fournissant des systèmes dédiés à la lecture numérique.;Entreprise;"ebook;liseuse;equipement";2003;27 rue de la Vistule;75013;Paris;48.822891, 2.35879;http://www.bookeen.com;BookeenTeam;;https://www.facebook.com/Bookeen
Citizen Box;Citizen Box est un espace de coworking propulsé par Paris Mix, grappe d'entreprises Musique et Innovation, ouvert aux travailleurs indépendants soucieux de développer leurs projets et parcours professionnels.;Tiers-lieu;"coworking;musique";2013;146 rue des Poissonniers;75018;Paris;48.897072, 2.35271;http://www.citizenbox.fr;;;
Télécom Ecole de Management;Télécom Ecole de Management est une école de commerce en phase avec les nouvelles technologies : : marketing numérique, réseaux sociaux, web, systèmes d’information.;École;"manager;technologie";1979;9 rue Charles Fourier;91011;Evry;48.62356, 2.44441;http://www.telecom-em.eu;TelecomEM;;https://www.facebook.com/Temfanpage
EEMI;L'Ecole Européenne des Métiers de l'Internet propose un cursus sur-mesure pour former à ces métiers : web marketeur, développeur, intégrateur, community manager, web designer, chef de projet, etc.;École;"internet;metiers";2011;28 place de la Bourse;75002;Paris;48.869508, 2.341908;http://www.eemi.com;EEMI75;;https://www.facebook.com/eemi75
AB-IT;Conseils et Services en Ingénierie Informatique. Membre de seineouestdigital.fr;Entreprise;;2008;251 rue Jean Jaques Rousseau;92130;issy les moulineaux;48.8222932397, 2.25520133972;http://www.ab-it.fr/accueil.html;;;
